ZONA,n_paradas,cupos_total,n_viajes_camion,min_conduccion_total,min_total_con_ventanas,km_total_rutas
1,24,10169,3,166.53,376.53,116.64
2,24,6729,2,137.74,357.74,94.293
3,26,20148,5,242.87,452.87,191.988
4,20,20151,5,267.31,417.31,206.75
5,18,8684,2,128.79,288.79,90.731
6,19,7522,2,150.83,320.83,105.017
7,30,15175,4,213.96,473.96,153.912
8,20,6192,2,190.42,370.42,134.985
9,35,13994,3,188.37,508.37,125.431
10,20,17179,4,262.27,422.27,224.945
11,18,17197,4,188.14,328.14,149.242
12,22,12407,3,182.74,372.74,135.504
